Time,PM2_5,PM10,sharpPM,dhtTemp,dhtHum,specCO,figaroCO,figaroCO2,SUMTemp,SUMBinary
1510230081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.5,0
1510230113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.5,0
1510230144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.25,0
1510230175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,0
1510230206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5,0
1510230425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,0
1510230622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.25,0
1510230653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,0
1510230684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,0
1510230715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,0
1510230747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,0
1510230778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.75,0
1510230965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.5,0
1510230997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.5,0
1510231028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.25,0
1510231059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.25,0
1510231090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,0
1510231134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,0
1510231165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,0
1510231196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,0
1510231227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.75,0
1510231259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.75,0
1510231290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5,0
1510231321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5,0
1510231352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.25,0
1510231383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.25,0
1510231415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,0
1510231446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,0
1510231477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,0
1510231508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.75,0
1510231540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.75,0
1510231571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.75,0
1510231602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5,0
1510231646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5,0
1510231677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5,0
1510231708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5,0
1510231740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.25,0
1510231771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.25,0
1510231802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,0
1510231833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.25,0
1510231864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,0
1510231896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,0
1510231927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.75,0
1510231958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.75,0
1510231989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.75,0
1510232021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.75,0
1510232052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5,0
1510232083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5,0
1510232114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5,0
1510232158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5,0
1510232189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.25,0
1510232220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.25,0
1510232251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75,0
1510232283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.25,0
1510232314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75,0
1510232345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75,0
1510232376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75,0
1510232407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.75,0
1510232439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5,0
1510232470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5,0
1510232501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5,0
1510232533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5,0
1510232564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510232595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510232626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510232670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510232701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510232732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510232763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510232795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
